UID_MEDIAFILM,TITRE_ORIGINAL,TITRE_FRANÇAIS,PAYS_1,PAYS_2,PAYS_3,PAYS_4,PAYS_5,PAYS_6,ANNÉE_PRODUCTION,COTE_MEDIAFILM,GENRE,DATE_HEURE_DIFFUSION,RÉALISATION
66887,God's Pocket,Accident à God's Pocket,US,,,,,,2013,5,Comédie,2018-04-28T23:30:00,John Slattery 
67398,"Ce soir, je vais tuer l'assassin de mon fils","Ce soir, je vais tuer l'assassin de mon fils",FR,,,,,,2014,4,Drame,2018-04-29T01:30:00,Pierre Aknine 
41363,Chicken Little,Petit Poulet,US,,,,,,2005,5,Film d'animation,2018-04-29T15:00:00,Mark Dindal 
57642,Pour l'amour de Dieu,Pour l'amour de Dieu,CA,QC,,,,,2011,4,Drame sentimental,2018-04-30T00:23:00,Micheline Lanctôt 
41,Bottle Rocket,Tête brûlée,US,,,,,,1995,5,Comédie de moeurs,2018-04-30T01:55:00,Wes Anderson 
41234,In Her Shoes,Chaussure à son pied,US,,,,,,2005,4,Comédie dramatique,2018-05-04T00:35:00,Curtis Hanson 
68393,Inside Out,Sens dessus dessous,US,,,,,,2015,3,Film d'animation,2018-05-04T19:00:00,"Ronaldo Del Carmen, Pete Docter "
69121,Guibord s'en va-t-en guerre,Guibord s'en va-t-en guerre,CA,QC,,,,,2015,4,Comédie,2018-05-04T23:05:00,Philippe Falardeau 
57630,"Assaut, L'","Assaut, L'",FR,,,,,,2010,4,Drame historique,2018-05-05T00:55:00,Julien Leclercq 
2008,"Boys III, Les","Boys III, Les",CA,QC,,,,,2001,5,Comédie,2018-05-05T23:30:00,Louis Saïa 
51174,Wild Target,Petits Meurtres à l'anglaise,GB,,,,,,2009,5,Comédie policière,2018-05-06T02:00:00,Jonathan Lynn 
907,Madeline,Madeline,US,,,,,,1998,4,Comédie,2018-05-06T15:00:00,Daisy von Scherler Mayer 
68752,Irrational Man,"Homme irrationnel, L'",US,,,,,,2015,4,Comédie dramatique,2018-05-07T01:23:00,Woody Allen 
62504,Do Not Disturb,Do Not Disturb,FR,,,,,,2012,5,Comédie de moeurs,2018-05-11T00:35:00,Yvan Attal 
69620,Zootopia,Zootopia,US,,,,,,2016,4,Film d'animation,2018-05-11T19:00:00,"Byron Howard, Rich Moore "
61364,Liverpool,Liverpool,CA,QC,,,,,2012,5,Thriller,2018-05-11T23:05:00,Manon Briand 
58299,Detachment,Détachement,US,,,,,,2011,4,Drame,2018-05-12T01:00:00,Tony Kaye 
62540,"Company You Keep, The",Sous surveillance,US,,,,,,2012,4,Thriller,2018-05-12T23:30:00,Robert Redford 
17515,Tucker - The Man and His Dream,Tucker - L'Homme et son rêve,US,,,,,,1988,3,Drame biographique,2018-05-13T02:00:00,Francis Ford Coppola 
